Demande,Status,traité par ETECH,QUESTION POUR CINEPAX
- LETTRE ET CHIFFRE DES SIEGES EN POLICE BLANCHE si le fond reste noir,fait," Lisibilité des numéros de sièges — corrigé. Le retour demandait des lettres et numéros en blanc « si le fond reste noir » : le plan de salle n'est plus sur fond noir depuis la refonte du parcours d'achat, donc
  écrire en blanc les aurait rendus invisibles. La gêne signalée était néanmoins réelle, mais d'origine différente — tant que le canal CINEP n'est pas activé côté Veezi, tous les sièges s'affichent en gris «
  éteint » et le numéro y était trop pâle. Les numéros et lettres de rangée ont donc été assombris et légèrement agrandis sur tous les états du plan, y compris ceux qui n'apparaîtront qu'une fois CINEP activé ;
  tous respectent désormais le seuil d'accessibilité WCAG AA, mobile compris. Reste à cocher « CINEP » dans la grille de programmation Veezi pour que les places deviennent sélectionnables et à jour.",
"- Légende : uniquement libre, sélectionné et occupé + éventuellement non dispo",à demander,,"il existe déjà plusieur légende dans votre backoffice, je pense que vous pouvez le gérer depuis votre backoffice "
- Rajout du visuel des tarifs ?,fait,"Les tarifs sont désormais visibles de bout en bout : un semainier sur la page « Nos offres » — sept
  colonnes, une par jour, le prix en grand et une étiquette rouge « Bon plan » sur le mardi et le jeudi
  — et, dans le parcours d'achat, un sélecteur de billets par tranche d'âge qui apparaît dès qu'une
  place est choisie, avec un total qui se recalcule en direct et se retrouve à l'identique sur l'écran
  de paiement puis sur le billet de confirmation, les montants provenant pour l'instant de l'affiche
  officielle Cinepax en attendant l'activation de la vente en ligne côté Veezi.",
"- Et de la mention « une pièce d’identité pourra vous être demandée au contrôle pour justifier votre âge »
",à verifier,,
"- Rajout de « achat définitif, non échangeable, non remboursable »",fait,"- Le message « achat définitif, non échangeable, non remboursable » apparaît désormais à chaque étape
  de l'achat — de la liste des films jusqu'au billet, y compris à l'impression",
"- A chaque QR CODE, rajout du film, date, salle et horaire séance, nombre de places et intitulé tarif pour faciliter le passage au contrôle (sur écran et éventuellement sur
 l’impression)
",fait,"- Le QR code et le billet portent maintenant le film, la date, l'horaire, la salle, le nombre de
  places et le tarif, à l'écran comme à l'impression, pour que le contrôle à l'entrée se fasse d'un coup
  d'œil.
",
- Gestion de la data avec accord du client (via le site admin ?) (RGPD),fait,"RGPD — le consentement du client à l'usage de ses données

  Nous avons ajouté au site une mention RGPD que chaque client doit accepter avant de créer son compte. Elle dit en clair ce que Cinepax collecte (nom, e-mail, téléphone, historique d'achats), à quoi cela sert,
  combien de temps c'est conservé et comment demander l'accès, la correction ou l'effacement de ses données. Pour que cette acceptation ait une valeur, le client ne peut pas cocher la case sans avoir ouvert le
  document : la case reste verrouillée tant qu'il n'a pas fait défiler le texte jusqu'au bout, comme sur les grands sites de vente en ligne. Une barre de progression lui montre où il en est, pour que le blocage
  s'explique de lui-même au lieu d'être subi. À chaque acceptation, le système enregistre la date, l'heure et la version exacte du texte accepté — c'est la preuve à produire en cas de litige ou de contrôle. Le
  client retrouve à tout moment, dans son espace personnel, la liste de ce qu'il a accepté et peut relire le texte tel qu'il était au moment de son accord. Un bandeau discret en bas d'écran rappelle enfin aux
  visiteurs ce que nous faisons de leurs données ; il n'y a pas de fenêtre bloquante à cookies, car le site n'utilise aucun traceur publicitaire — il n'y avait donc aucune permission à demander.
",
"- CGU CGV ET PDD, Où vont-ils apparaître ? sur cinepax.mg",fait," CGU, CGV, PDD — les documents contractuels et leur gestion par l'administrateur

  Trois autres documents complètent le dispositif : les conditions générales d'utilisation (les règles d'usage du site et du compte), les conditions générales de vente (qui posent noir sur blanc que l'achat en
  ligne est ferme et définitif, non remboursable, et ce qui se passe si une séance est annulée) et la politique de protection des données (le document détaillé, qui reprend chaque traitement un par un). Ils sont
  accessibles depuis le pied de page sur toutes les pages du site, depuis une page d'accueil dédiée qui les regroupe, et les conditions de vente sont rappelées juste au-dessus du bouton de paiement,
  consultables sans quitter la commande. Point important pour l'exploitation : l'administrateur rédige et modifie lui-même ces textes depuis son espace, avec un éditeur de texte semblable à Word (gras, titres,
  listes, liens), en français et en anglais — sans passer par un développeur et sans mise en ligne technique. Une nuance qui compte : corriger une faute de frappe n'ennuie personne, alors que publier une
  nouvelle version redemande son accord à tous les clients. C'est donc l'administrateur qui décide, en cochant une case dédiée, si le changement est assez important pour justifier une nouvelle acceptation — et
  l'écran lui annonce le nombre exact de clients concernés avant qu'il ne valide.
",
- Création libéllé sur l'horaire du film pour faciliter la navigation (à verifier),à demander,,"besoin de précision sur le filtre, genre matiné, soiré ou autre "
- Uniformiser les textes du web en langue français,à verifier,déjà vérifier,
"- Pas de lettre ""e"" sur HEURE de l'onglet ""PAR HEURE DE SEANCE"" de la page Actuellement web",à verifier,déjà vérifier ,
"- Le mot ""Aujourd'hui"" sur Prochainement avec guillemets au lieu d'apostrophe",fait,"- Le mot « Aujourd'hui » et tous les textes du site utilisent désormais la bonne apostrophe
  française.",
"- A remplacer ""TBC: To be confirmed"" par le classification exact du film ou terme en FR",fait,"- La mention technique « TBC » est remplacée par la classification du film en français ; lorsque le
  distributeur ne l'a pas encore fournie, le site affiche « Classification en attente ».",
"- ""A modifier automatiquement le synopsis du film FR en synopsis FR et idem EN en EN pour ne faire manuellement à chaque création de la version du film.""
",fait,"Le site affiche désormais chaque synopsis dans la langue du visiteur : il récupère d'abord le texte déjà rédigé par le distributeur sur la version VF ou VO du film, et ne le fait traduire automatiquement que
  ▎ lorsqu'il n'existe pas — ce qui corrige au passage les fiches françaises qui affichaient de l'anglais.",
"- Couleur sièges, toutes les sélections, etc...: A garder toutes les couleurs sur Veezi POS",à demander,,"On a pas acces constament au rendu du POS, si vous pouvez nous le rappeler l'ergonomie pour que ça soit en phase avec le site "
- Possibilité de bloquer le siège cassé en attendant la réparation,à demander,Depuis le backoffice ,"si vous avez déjà une options de bloquer les sièges depuis le backoffice alors c'est bon, sinon on peut l'implémenter mais manuellement sur chaque salle "
- Police de caractère à augmenter pour faciliter la lecture,fait,"-La taille du texte a été augmentée de 12,5 % sur l'ensemble du site pour en faciliter la lecture,
  sans modifier la mise en page.",
- A mettre en evidence la place choisie par le Client - A écrire en capitale et en bas une fois selectionnée les numéros (A écrire en capitale juste en bas de l'écran une fois selectionnée les numéros),fait,"- Quand un client choisit ses places sur le plan de salle, elles ressortent maintenant nettement en rouge et leurs numéros s'affichent en toutes lettres capitales juste sous l'écran (par ex. « D5 D6 D7 »), pour
  qu'il vérifie d'un coup d'œil ce qu'il achète — au passage, nous avons corrigé un défaut qui rognait la moitié droite de la salle sur téléphone et rendait ces sièges impossibles à sélectionner.",
- Legendes des sièges à diminuer sur Veezi POS - A supprimer ceux inutiles (Places libres - Places disponibles - Places occupées - Reservations),à demander,,ça vient des retours depuis le backoffice 
- Mise en place formulaire pour les clients fidèles ou priviliégiés,à demander,,"Que contient le formulaire, on aimerai avoir plus de précision surtout sur le flow "
- Maximum d'informations/guides pour les clients en ligne: Assistance sous forme liens ou guide pour explications les démarches (ex : Nombre de chiffres à taper sur la carte bancaire),fait,"Le site accompagne désormais le client à chaque étape de l'achat en ligne : de petites bulles d'aide expliquent au moment voulu ce qu'il faut saisir — notamment les 16 chiffres de la carte, avec un compteur
  qui se remplit à mesure qu'on tape, et un schéma indiquant où lire le code à 3 chiffres au dos —, préviennent que la banque enverra un code par SMS, précisent pourquoi certaines séances n'affichent ni plan de
  salle ni tarif (elles restent en vente à la caisse), et renvoient vers une nouvelle page « Aide » accessible depuis le menu et le bas de page, qui détaille le parcours complet et répond aux dix questions les
  plus fréquentes — le tout en français et en anglais, sans rien changer au fonctionnement existant.",
- Numéro téléphone standard cinepax: A ne pas mettre à ligne le 01 sur (+261)3405735,fait,,
- Diminuer le temps de disponibilité des films sur le web après ouverture vente sur Veezi backoffice,fait,"Les séances ne sont plus proposées à l'achat sur le site dans les dernières minutes avant leur début — le délai (60 minutes par défaut) se règle librement depuis l'espace d'administration, sans intervention
  technique, et s'applique immédiatement à tout le site.",
"- Ajouter un onglet ""ACHAT EN LIGNE"" OU ""RESERVER"" à côté heure du film ou bien une fois pointez sur l'horaire du film",fait,déjà intégré par rapport au autre ,
